JobID|JobName|State|Elapsed|ExitCode|Partition|QOS|AllocTRES
870103_87|nat-ev-v2-r4lGen|FAILED|00:00:00|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_87.batch|batch|FAILED|00:00:00|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_87.extern|extern|COMPLETED|00:00:00|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_88|nat-ev-v2-r4lGen|FAILED|00:00:00|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_88.batch|batch|FAILED|00:00:00|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_88.extern|extern|COMPLETED|00:00:00|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_89|nat-ev-v2-r4lGen|FAILED|00:00:00|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_89.batch|batch|FAILED|00:00:00|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_89.extern|extern|COMPLETED|00:00:00|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_90|nat-ev-v2-r4lGen|FAILED|00:00:02|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_90.batch|batch|FAILED|00:00:02|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_90.extern|extern|COMPLETED|00:00:02|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_91|nat-ev-v2-r4lGen|FAILED|00:00:02|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_91.batch|batch|FAILED|00:00:02|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_91.extern|extern|COMPLETED|00:00:02|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_92|nat-ev-v2-r4lGen|FAILED|00:00:02|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_92.batch|batch|FAILED|00:00:02|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_92.extern|extern|COMPLETED|00:00:02|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_93|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_93.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_93.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_94|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_94.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_94.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_95|nat-ev-v2-r4lGen|FAILED|00:00:01|1:0|pomplun|pomplun|billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_95.batch|batch|FAILED|00:00:01|1:0|||cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
870103_95.extern|extern|COMPLETED|00:00:01|0:0|||billing=3618,cpu=16,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
